sweep_parameter,sweep_value,dynamics,t,theory_norm_mean,theory_norm_se,amp_mean,amp_se,amp_norm_mean,amp_norm_se,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
R,6.0,gaussian_map,40,9.249710636642833e-09,0.0,0.0,0.0,0.0,0.0,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,0,1.0,0.0,0.049763098472685126,0.000118853834702672,1.0,0.0,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,1,0.6297282894523665,0.0,0.030915967136890782,0.00023112965089705173,0.621264433353216,0.0044507660654147345,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,2,0.3965577185366035,2.0981243021257878e-17,0.018849339164590206,0.0004411201216498891,0.3788511144802458,0.009208731647138995,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,3,0.24972361376318825,2.0981243021257878e-17,0.011556315393420993,0.00045685808637241354,0.23228784979086387,0.009352603134652823,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,4,0.157258024130956,0.0,0.007090665536727593,0.0005861484493464115,0.142613525786142,0.012008282734639664,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,5,0.0990298265386459,0.0,0.004489073794322094,0.0004328118063387347,0.09026991131938218,0.008790234844855116,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,6,0.06236188327094605,0.0,0.002110417629243316,0.0006387905636074864,0.04228587565544571,0.012800165429633074,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,7,0.039271042079241,0.0,0.0023886368010683657,0.0006405499499787296,0.04797962135594322,0.01284670048432382,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,8,0.02473008615357234,1.3113276888286174e-18,0.0006835120098791881,0.0007274009852289696,0.013639816067075053,0.014620438511222786,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,9,0.015573234851498764,0.0,-0.00021726162765531456,0.0006008894722714926,-0.00428478956966735,0.01205020532371805,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,10,0.009806906544274295,0.0,0.00014933574465205286,0.000683490879520538,0.003073346697359376,0.013766778903972684,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
R,6.0,microscopic,11,0.006175686482945071,3.2783192220715434e-19,-0.00032123600333254076,0.0004660194485461354,-0.006322746475529899,0.009301633268817677,6,0.72,0.0,0.0,0.0,0.0,0.72,0.2660636845840808,0.29484459183327977
