sweep_parameter,sweep_value,dynamics,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_ratio_mean,lambda_ratio_std,n_seed,lambda_ratio_se,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
B,0.8,microscopic,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-4.4408920985006264e-17,0.007535915820926286,0.03105200291987387,8,0.010978540917033644,12,0.8,0.0,0.0,0.0,0.0,0.8,0.2133237370402069,0.2127596452964393
B,0.95,gaussian_map,0,0.0,0.0,1.0,0.95,1.0,0.0,8,0.0,12,0.95,0.0,0.0,0.0,0.0,0.95,0.2533219377352457,0.2127596452964393
B,0.95,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.8434014689910967,0.8888563490365338,0.011100306117431503,8,0.003924550864441166,12,0.95,0.0,0.0,0.0,0.0,0.95,0.2533219377352457,0.2127596452964393
B,0.95,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.5643416293271776,0.5987713211394934,0.009484227600609515,8,0.0033531808253538034,12,0.95,0.0,0.0,0.0,0.0,0.95,0.2533219377352457,0.2127596452964393
B,0.95,gaussian_map,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.07916666666666657,-0.08495949828413239,0.010166205757427464,8,0.0035942965150073405,12,0.95,0.0,0.0,0.0,0.0,0.95,0.2533219377352457,0.2127596452964393
B,0.95,gaussian_map,6,0.39269908169872414,0.125,-0.2511391455052437,-0.23858218822998148,-0.25904644077454636,0.009141162695243375,8,0.0032318890648680436,12,0.95,0.0,0.0,0.0,0.0,0.95,0.2533219377352457,0.2127596452964393
B,0.95,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-5.2735593669694933e-17,4.660703169559856e-05,0.010674795440385337,8,0.0037741101218378543,12,0.95,0.0,0.0,0.0,0.0,0.95,0.2533219377352457,0.2127596452964393
B,0.95,microscopic,0,0.0,0.0,1.0,0.95,1.0,0.0,8,0.0,12,0.95,0.0,0.0,0.0,0.0,0.95,0.2533219377352457,0.2127596452964393
B,0.95,microscopic,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.8434014689910967,0.8935060505671674,0.030945894844603753,8,0.010941026047252566,12,0.95,0.0,0.0,0.0,0.0,0.95,0.2533219377352457,0.2127596452964393
B,0.95,microscopic,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.5643416293271776,0.6024023955707024,0.013372695602242465,8,0.004727961871544584,12,0.95,0.0,0.0,0.0,0.0,0.95,0.2533219377352457,0.2127596452964393
B,0.95,microscopic,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.07916666666666657,-0.08601618557619792,0.02473345436394491,8,0.008744596651456726,12,0.95,0.0,0.0,0.0,0.0,0.95,0.2533219377352457,0.2127596452964393
B,0.95,microscopic,6,0.39269908169872414,0.125,-0.2511391455052437,-0.23858218822998148,-0.2540481456484931,0.025026808732581264,8,0.008848313083133458,12,0.95,0.0,0.0,0.0,0.0,0.95,0.2533219377352457,0.2127596452964393
B,0.95,microscopic,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-5.2735593669694933e-17,0.0002692850649151559,0.02840713565230845,8,0.010043439126916721,12,0.95,0.0,0.0,0.0,0.0,0.95,0.2533219377352457,0.2127596452964393
