dynamics,seed_index,seed,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit,fit_r2,A0,A1
gaussian_map,4,20260805,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.4219142850340242,0.9994915194852986,0.049230465493220084,0.020830480270947062
gaussian_map,4,20260805,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.050323665299908615,0.9902267202169154,0.05032862166474751,-0.002527145148046328
gaussian_map,4,20260805,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.17742057513862378,0.9960019651692696,0.05001167811383103,-0.008825491853091283
gaussian_map,4,20260805,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,-0.0010820602399647602,-0.025321824318447428,0.04912861904732156,-5.200998380039618e-05
gaussian_map,5,20260806,0,0.0,0.0,1.0,0.72,0.7088474397247749,0.9994559928493373,0.04927083333333333,0.035046875
gaussian_map,5,20260806,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.625574086123909,0.9993263368014283,0.049193289264382045,0.030635707547852595
gaussian_map,5,20260806,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.4162824335330265,0.997717701055924,0.05070858504730591,0.020828528339231357
gaussian_map,5,20260806,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.05208001865474302,0.9905400660432513,0.04921623589677067,-0.002555335970241019
gaussian_map,5,20260806,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.18200007840967744,0.9995768117987558,0.04897436226323857,-0.008927124199046819
gaussian_map,5,20260806,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,-0.006500842645652535,-1.0241853249540487,0.05052347725519383,-0.00032962076603592684
gaussian_map,6,20260807,0,0.0,0.0,1.0,0.72,0.7134233152450689,0.9964804889245147,0.05038020833333333,0.03569791666666666
gaussian_map,6,20260807,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6304458089282776,0.9994099129696836,0.04951016636453323,0.030966796603364044
gaussian_map,6,20260807,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.41564526920255024,0.9991014194123955,0.04984746460988854,0.020899463876151304
gaussian_map,6,20260807,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.04398792212921901,0.9740049827597994,0.05015302534782668,-0.0022033400211384363
gaussian_map,6,20260807,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.17921095208235122,0.9960565915373859,0.049757149060520284,-0.008969724615409244
gaussian_map,6,20260807,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,-0.008958496080953282,-6.514661489775395,0.049925567396854505,-0.0004634414693413185
gaussian_map,7,20260808,0,0.0,0.0,1.0,0.72,0.7043683800076913,0.9989499405129789,0.05043229166666666,0.035229166666666666
gaussian_map,7,20260808,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6307311376486749,0.9996906673205448,0.051356334861849096,0.03258115117151675
gaussian_map,7,20260808,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.43019177190756985,0.9988394370711087,0.05039841147487889,0.021720942667893317
gaussian_map,7,20260808,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.05650644582465366,0.9043670189776121,0.05072609402736469,-0.002862399518483194
gaussian_map,7,20260808,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.17779407544712325,0.997299715585696,0.04968314437409349,-0.008872722739924087
gaussian_map,7,20260808,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,-0.005784308743479248,0.5436698850264869,0.05021611223899423,-0.00028942301761277633
gaussian_map,8,20260809,0,0.0,0.0,1.0,0.72,0.7024753704266877,0.999417519783455,0.049317708333333335,0.03438541666666667
gaussian_map,8,20260809,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6261298756884065,0.9992675840988237,0.05012150201781254,0.03143896900063368
gaussian_map,8,20260809,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.4214440091971406,0.9996130583918632,0.05066207025991329,0.02130831410174465
gaussian_map,8,20260809,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.057381452787323914,0.9686438220025672,0.05009551931907378,-0.002869445695726978
gaussian_map,8,20260809,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.1734592099928354,0.9947505534797499,0.05088217195881745,-0.008771157565182527
gaussian_map,8,20260809,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,0.020097371168303867,0.9978168008191534,0.04860883418898224,0.00097767090063074
gaussian_map,9,20260810,0,0.0,0.0,1.0,0.72,0.7007396545591301,0.9985662944041706,0.049520833333333326,0.035119791666666664
gaussian_map,9,20260810,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6382834091548842,0.9942260813557192,0.0501863449209657,0.03273563550731405
gaussian_map,9,20260810,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.4342402675226617,0.9985974909838771,0.0488380650185823,0.021409658757048984
gaussian_map,9,20260810,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.06233432634192427,0.92160479030777,0.050227683276069614,-0.003083104867828776
gaussian_map,9,20260810,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.1855723502929484,0.9946155195675681,0.05028848185543564,-0.00944498292726291
gaussian_map,9,20260810,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,0.013789158301902558,-0.504005471862853,0.050343355888048114,0.0006877737441836334
gaussian_map,10,20260811,0,0.0,0.0,1.0,0.72,0.7152432204913088,0.9985781957676105,0.04930729166666667,0.03552604166666666
gaussian_map,10,20260811,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6126401964073008,0.9988749935638435,0.049581008209872525,0.030359917582972844
gaussian_map,10,20260811,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.4116482125243645,0.9974943011817092,0.049736863998324755,0.02019694465071594
gaussian_map,10,20260811,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.05542121239037075,0.9717736729479874,0.04981963995106807,-0.002740657927228913
gaussian_map,10,20260811,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.1824995087316997,0.9972106138945701,0.04971612905804451,-0.009104824348505713
gaussian_map,10,20260811,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,0.0012779748423566266,-1.771180936091445,0.05056684008254712,5.97088625788424e-05
gaussian_map,11,20260812,0,0.0,0.0,1.0,0.72,0.7063251216602496,0.9997241329125495,0.049937499999999996,0.03546875
gaussian_map,11,20260812,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6134330303548492,0.998809445881158,0.05134963609211569,0.031237388373994847
gaussian_map,11,20260812,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.40750523073765005,0.9990416461346953,0.050353917445855136,0.020342780483825817
gaussian_map,11,20260812,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.055094695346156415,0.9868906560873839,0.05026642625525483,-0.002758677576567967
gaussian_map,11,20260812,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.17568669328946726,0.9927194024946351,0.05023857504774783,-0.008832685540007889
gaussian_map,11,20260812,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,-0.0015333702180649364,-0.10574043526175503,0.049092087364455306,-7.560760676247616e-05
