sweep_parameter,sweep_value,dynamics,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit_mean,lambda_fit_std,fit_r2_mean,fit_r2_std,A0_mean,A1_mean,A1_std,n_seed,lambda_fit_se,A1_se,relative_error,unreliable,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
R,18.0,microscopic,0,0.0,0.0,1.0,0.72,0.7172321049681446,0.013230299849758688,0.9858574816486138,0.010704696080660988,0.04990559895833333,0.03566015625,0.0009727450186990273,8,0.0046776173704478645,0.00034391729954375857,0.003844298655354683,False,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523
R,18.0,microscopic,1,0.06544984694978735,0.020833333333333332,0.7667856577555567,0.5520856735840008,0.55685376828723,0.015057857984404375,0.9736699327412183,0.015311754030753534,0.049689711931381,0.02779251972718713,0.0008859458579084943,8,0.0053237567454581655,0.0003132291619456149,0.008636512286717883,False,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523
R,18.0,microscopic,2,0.1308996938995747,0.041666666666666664,0.2522571646805467,0.18162515856999362,0.16673507499287016,0.020854905220984158,0.9266483218362181,0.06575530532327667,0.05054488361278599,0.008593424654272161,0.0011107192985125624,8,0.007373322451380316,0.000392698573986499,0.08198249457486478,False,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523
R,18.0,microscopic,4,0.2617993877991494,0.08333333333333333,-0.23877094757569864,-0.17191508225450303,-0.16272626183603692,0.022376679689682943,0.903856857345321,0.08551543672225367,0.04994392444202273,-0.008173568291730007,0.001136531923753798,8,0.007911350974507049,0.0004018247151606513,0.05344976309212349,False,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523
R,18.0,microscopic,6,0.39269908169872414,0.125,0.09061035076099075,0.06523945254791334,0.05934514145665576,0.016966810561206032,0.2807047770721286,0.5359513563656079,0.049873194476597105,0.0028875603840855957,0.0008087349725375364,8,0.005998673401468159,0.0002859309916320041,0.0903488742019818,True,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523
R,18.0,microscopic,8,0.5235987755982988,0.16666666666666666,-0.05555555555555541,-0.03999999999999989,-0.040284491005717134,0.01541619191192647,0.46279776764543756,0.3251300293426736,0.05005068503233255,-0.0019908359762864335,0.0007825674454925723,8,0.005450446920498207,0.00027667937372181586,0.007112275142931119,True,18,0.72,0.0,0.0,0.0,0.0,0.72,0.1598466453910254,0.1771377367411523
R,24.0,gaussian_map,0,0.0,0.0,1.0,0.72,0.7125202326830506,0.005911680792381182,0.9986531260006805,0.0008998192217033423,0.04994661458333333,0.03571549479166666,0.0007186526067339004,8,0.002090094788251498,0.00025408206576946505,0.010388565717985175,False,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.6155591663946678,0.44320259980416077,0.4367163833641826,0.009178722072558545,0.9988974276774526,0.00037866939541984497,0.0499817213715925,0.02183657153376235,0.0003903561952154535,8,0.003245168310066394,0.00013801175635751346,0.014634879043679432,False,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,gaussian_map,2,0.1308996938995747,0.041666666666666664,-0.04166666666666657,-0.029999999999999926,-0.02723754491833338,0.00911646221691789,0.9427974943909265,0.03961031394069349,0.04973622370464019,-0.001355419082892138,0.0004569733064783021,8,0.003223156127006793,0.00016156446191602293,0.09208183605555174,False,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,gaussian_map,4,0.2617993877991494,0.08333333333333333,-1.0942448641864363e-16,-7.878563022142341e-17,0.0014406860522320024,0.005597435872635008,-0.22454410737470296,0.34896207602159585,0.050297448795406485,7.191017754225884e-05,0.0002795570700773834,8,0.001978992431398527,9.883834999018033e-05,,True,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,gaussian_map,6,0.39269908169872414,0.125,-0.04166666666666661,-0.029999999999999957,-0.028535358775149112,0.0064177405510810115,0.8347266958525296,0.21398197150291068,0.0500028291646266,-0.0014325678940140497,0.0003290182812413817,8,0.0022690139317826366,0.0001163255289000618,0.048821374161694915,False,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.949279591100894e-17,-4.2834813055926433e-17,-0.003111634167792379,0.01014172936746273,0.2203117112824371,0.34958834584622456,0.04981294971318684,-0.00015914379149002014,0.0005116765010429251,8,0.003585642804345826,0.00018090496183062894,,True,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,microscopic,0,0.0,0.0,1.0,0.72,0.7128594671471168,0.013755619934206516,0.9819997309176016,0.020095749896294587,0.04994661458333333,0.03560611979166667,0.0006650716684130708,8,0.004863346067451139,0.00023513834335496666,0.009917406740115537,False,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,microscopic,1,0.06544984694978735,0.020833333333333332,0.6155591663946678,0.44320259980416077,0.4415601339034309,0.011602861059355787,0.9683075801764941,0.026303197155476035,0.0499817213715925,0.02169665390180738,0.0009980873851623841,8,0.004102230868117902,0.00035287717913253566,0.0037059031274988517,False,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,microscopic,2,0.1308996938995747,0.041666666666666664,-0.04166666666666657,-0.029999999999999926,-0.030296810056882666,0.01956445747755875,0.03591004860730755,0.39334056391700756,0.04973622370464019,-0.0015130395548852203,0.0009832724623195007,8,0.006917080276308824,0.00034763931293005644,0.009893668562758012,True,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,microscopic,4,0.2617993877991494,0.08333333333333333,-1.0942448641864363e-16,-7.878563022142341e-17,0.0005741528787395742,0.02010518917765695,-0.16539626844840322,0.6281946191675182,0.050297448795406485,6.075848449105493e-05,0.0010064525404808943,8,0.007108257802279808,0.0003558347081582343,,True,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,microscopic,6,0.39269908169872414,0.125,-0.04166666666666661,-0.029999999999999957,-0.03241610111458009,0.017561585855700473,0.08908812133485451,0.3334384460166947,0.0500028291646266,-0.0016433736004806663,0.00089595063927179,8,0.006208958223477781,0.00031676638631875244,0.08053670381933792,True,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
R,24.0,microscopic,8,0.5235987755982988,0.16666666666666666,-5.949279591100894e-17,-4.2834813055926433e-17,0.004890899249386927,0.015235688531956004,-0.51162413173514,1.2188896470393675,0.04981294971318684,0.0002895916509840329,0.0008151324352965329,8,0.005386629338496102,0.00028819283628164153,,True,24,0.72,0.0,0.0,0.0,0.0,0.72,0.14105347661898512,0.15631165450257806
