sweep_parameter,sweep_value,dynamics,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit_mean,lambda_fit_std,fit_r2_mean,fit_r2_std,A0_mean,A1_mean,A1_std,n_seed,lambda_fit_se,A1_se,relative_error,unreliable,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
delta,0.0,microscopic,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6260541347521763,0.02100555456702479,0.9813996261417788,0.011111884067677604,0.049975398677400154,0.031599332619876616,0.0008371693576448423,8,0.0074265850384636406,0.000295984064896127,0.020580731252019323,False,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,microscopic,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.4231187580527237,0.01324869876662057,0.9717312489324832,0.03175598496908503,0.05007829385631281,0.021221340949948278,0.0007534190900941206,8,0.004684122369887626,0.00026637387384047554,0.010738060705362243,False,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,microscopic,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.051917928249858004,0.01087972320417907,0.5451521879993069,0.2733328221056695,0.04994618416468146,-0.0025606370050090324,0.0005669403703838412,8,0.0038465630275538267,0.0002004436902134135,0.13470119583569878,True,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,microscopic,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.16916363284015196,0.01943138662250481,0.9412387239267678,0.047013590253411335,0.050239807013902835,-0.008567350603671232,0.0009083725148326119,8,0.006870032624315357,0.0003211581825408088,0.06446488227435275,False,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.0,microscopic,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,0.0016195837021553507,0.021106017776407245,-0.6076189014878562,2.2228785433566207,0.050148468985732754,9.204221387824511e-05,0.0010452516005888366,8,0.00746210414677069,0.00036955224741122946,,True,12,0.72,0.0,0.0,0.0,0.0,0.72,0.1919913633361862,0.2127596452964393
delta,0.05,gaussian_map,0,0.0,0.0,1.0,0.562911200236417,0.5684120852576303,0.006076556762708195,0.9995792188852459,0.00032630879859915754,0.05040169270833333,0.02852604166666668,0.0005013931484231856,8,0.0021483872465879695,0.0001772692476452538,0.009772207443914684,False,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,gaussian_map,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.49974750862203743,0.5095632107963153,0.0038088197989211074,0.9993204939035929,0.0010779444673535974,0.04963180757294222,0.025235352671711606,0.00029018651687302897,8,0.0013466211540673486,0.00010259642694491163,0.019641322877912606,False,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,gaussian_map,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.3343939199030913,0.3336229002013556,0.004523555852419375,0.9986027296981907,0.0012952435752753104,0.05024687471759829,0.01670802919373504,0.0005226178573765633,8,0.0015993185091609165,0.0001847733154600759,0.0023057228491449653,False,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,gaussian_map,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.04690926668636803,-0.04730868528577649,0.0077034482275317165,0.9779885454349345,0.010935809073420764,0.049928228001128436,-0.0023642291529979323,0.0003888038949431929,8,0.002723580240103583,0.00013746293533303686,0.008514705678068746,False,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,gaussian_map,6,0.39269908169872414,0.125,-0.2511391455052437,-0.1413690378227049,-0.138935491587327,0.005921878031478045,0.9961144034006661,0.0037339779830393846,0.049717220802542025,-0.006897898583540079,0.00041557704395345506,8,0.002093700056708884,0.000146928672942474,0.017214138773653555,False,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,gaussian_map,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.1247848766092604e-17,0.0012811591722185717,0.006439214516413286,-0.10800861952664219,0.5446600904560059,0.0502337337507088,6.20292171397216e-05,0.00032166455098446415,8,0.0022766061250353445,0.00011372559263422026,,True,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,microscopic,0,0.0,0.0,1.0,0.562911200236417,0.5703255107617492,0.013291689823482585,0.9932271767655114,0.0032523126311135814,0.05040169270833333,0.02874414062500001,0.0007755318390637085,8,0.00469932200380638,0.0002741919112140112,0.013171367921295953,False,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,microscopic,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.49974750862203743,0.5059784949757531,0.01010389720855296,0.993090814711965,0.00515441761867535,0.04963180757294222,0.02503350019923419,0.0006963711857877331,8,0.003572267116289813,0.00024620439384671157,0.01246826896825653,False,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,microscopic,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.3343939199030913,0.33368555494340074,0.019207888015576123,0.9671921051157044,0.02651564978514401,0.05024687471759829,0.016822856771772487,0.0005689268149507551,8,0.006791013934042847,0.00020114600442527148,0.002118354783172652,False,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,microscopic,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.04690926668636803,-0.05150915012047377,0.015085171632732342,0.49321159373621815,0.3814899049414191,0.049928228001128436,-0.00259929556207115,0.0007961466940200767,8,0.00533341357843399,0.00028148036308042377,0.0980591631257046,True,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,microscopic,6,0.39269908169872414,0.125,-0.2511391455052437,-0.1413690378227049,-0.1502923769518281,0.012216096655342052,0.9123584265374568,0.07583353113959869,0.049717220802542025,-0.007601404379387967,0.0006329990658778067,8,0.004319042392311334,0.0002237989659834736,0.06312088747689017,False,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.05,microscopic,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.1247848766092604e-17,-0.00043946049845920926,0.019846061844973995,-1.2381023950682215,2.3069461193814256,0.0502337337507088,-3.349274982335373e-05,0.0010193900703993287,8,0.0070166424552143575,0.0003604088157267987,,True,12,0.72,0.05,0.0,0.05,0.5170784989129754,0.562911200236417,0.1919913633361862,0.2127596452964393
delta,0.1,gaussian_map,0,0.0,0.0,1.0,0.37393650107548,0.38866542473304916,0.004736496986773305,0.9994569035025436,0.0005829169831379167,0.04988802083333335,0.019334635416666683,0.0001802231706663703,8,0.0016746045692085266,6.371851305256545e-05,0.039388836380527883,False,12,0.72,0.1,0.0,0.1,0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
