sweep_parameter,sweep_value,dynamics,seed_index,seed,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit,fit_r2,A0,A1,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
B,0.4,microscopic,1,40260802,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.2204460492503132e-17,0.006053796504330635,-0.02566855037192428,0.05054710172594832,0.0003136951740598825,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,2,40260803,0,0.0,0.0,1.0,0.4,0.41510285697849597,0.9641721528513536,0.05040625,0.02206770833333333,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,2,40260803,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.35511640799625127,0.3539972175183182,0.9897706161491648,0.05044082411573783,0.01810624129728807,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,2,40260803,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.23761752813775902,0.23663291616137724,0.9914856143870071,0.049584994596615396,0.01154397539916312,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,2,40260803,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.03333333333333329,-0.06781086901879768,0.32562515866436714,0.04946900826396851,-0.003167035799185161,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,2,40260803,6,0.39269908169872414,0.125,-0.2511391455052437,-0.10045565820209748,-0.09918976621529098,0.7667148933494643,0.05033396434212141,-0.005079416482299573,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,2,40260803,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.2204460492503132e-17,-0.005106057344701436,-0.3516323026995658,0.04895357896839143,-0.00027865925722953867,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,3,40260804,0,0.0,0.0,1.0,0.4,0.37260504408346967,0.9913011209255169,0.04923958333333334,0.018177083333333333,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,3,40260804,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.35511640799625127,0.37240856851985393,0.948268475773587,0.05041458646467496,0.018437939242179405,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,3,40260804,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.23761752813775902,0.282701605836624,0.9521927317089716,0.04982419081164699,0.013944697246832125,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,3,40260804,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.03333333333333329,-0.03405984118325802,-3.125519758309281,0.050509642667317424,-0.0017883400585070822,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,3,40260804,6,0.39269908169872414,0.125,-0.2511391455052437,-0.10045565820209748,-0.0881177429775441,0.6607728251076628,0.04947202671571432,-0.004308583046919322,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
