sweep_parameter,sweep_value,dynamics,t,theory_norm_mean,theory_norm_se,amp_mean,amp_se,amp_norm_mean,amp_norm_se,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
delta,-0.1,gaussian_map,35,1.3538544760744606e-23,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,36,3.007380141097017e-24,1.3884221963558423e-40,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,37,6.680433881851923e-25,3.4710554908896057e-41,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,38,1.4839559602038182e-25,8.677638727224014e-42,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,39,3.296380640495121e-26,2.1694096818060036e-42,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,gaussian_map,40,7.322404180740369e-27,0.0,0.0,0.0,0.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,0,1.0,0.0,0.050087759721350815,0.00025231135555241435,1.0,0.0,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,1,0.22213466766509504,0.0,0.011203946279233554,0.00020331522865977528,0.22362871485780966,0.0034096344306293338,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,2,0.049343810578682215,2.6226553776572348e-18,0.0023867513329741846,0.00023542742953486774,0.047605834849214726,0.004641567652215112,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,3,0.010960970964224976,0.0,0.0005416074311267797,0.00024874519440757134,0.010745881438108775,0.004949447309847261,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,4,0.002434811642424872,1.6391596110357717e-19,0.0002895569354597157,0.0002831596531652504,0.005699428902433319,0.005566540199461778,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,5,0.0005408560750171531,4.0978990275894293e-20,8.790910576173214e-05,0.00025856937882333544,0.001588080282732979,0.005120701170028444,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,6,0.000120142884478583,5.122373784486787e-21,0.0004477903452734475,0.0002614848435377636,0.008903822336298908,0.005239950518851272,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,7,2.6687899715975944e-05,0.0,0.00033963525972252633,0.00022680194487381547,0.006737072480872202,0.004537841115785992,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
