dynamics,seed_index,seed,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit,fit_r2,A0,A1
microscopic,2,20260803,0,0.0,0.0,1.0,0.72,0.7337077386379941,0.992953167382015,0.04941145833333333,0.03540104166666667
microscopic,2,20260803,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6356413648010876,0.9826657784573771,0.050452888342397986,0.03197596376538196
microscopic,2,20260803,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.42114044658348426,0.9977193290176896,0.05010184714216466,0.020956413162383225
microscopic,2,20260803,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.0846247612211486,0.5084891138837806,0.051275638066182086,-0.004221268971901365
microscopic,2,20260803,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.172951765863529,0.8591171390735393,0.05077201357167084,-0.0082653097175478
microscopic,2,20260803,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,0.02059347609287745,-0.4355664580002352,0.05038414762657906,0.0011017226229620802
microscopic,3,20260804,0,0.0,0.0,1.0,0.72,0.7198318706347716,0.9969220136446953,0.05040625,0.03675520833333333
microscopic,3,20260804,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6506866014924962,0.9990824231165223,0.050720736590624795,0.03292642986325578
microscopic,3,20260804,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.42767465830459594,0.9906025519465357,0.050734630894401514,0.022009716316660148
microscopic,3,20260804,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.05801340205927552,0.9683709558949721,0.05082626200666291,-0.0029450389132301778
microscopic,3,20260804,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.19190764814593236,0.9653397304290731,0.05004261021734533,-0.009345537167108741
microscopic,3,20260804,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,-0.015085039468840013,-0.1945480738040306,0.05046471667028364,-0.0007055153481197651
microscopic,4,20260805,0,0.0,0.0,1.0,0.72,0.7043165929841677,0.9935301575005668,0.05001041666666667,0.0354375
microscopic,4,20260805,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6600436891363994,0.9938239306854392,0.049809506326452715,0.03353337108320127
microscopic,4,20260805,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.40765649255946557,0.9367949294734751,0.049230465493220084,0.019585791262577215
microscopic,4,20260805,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.05373211805438527,0.11747174521526949,0.05032862166474751,-0.0026519873130251143
microscopic,4,20260805,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.1609262509553676,0.9813574718424192,0.05001167811383103,-0.00809493379201599
microscopic,4,20260805,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,-0.019748027019062878,0.12942122974144632,0.04912861904732156,-0.0009430089253093778
microscopic,5,20260806,0,0.0,0.0,1.0,0.72,0.7021159197177019,0.9959000813551531,0.04927083333333333,0.03396875
microscopic,5,20260806,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6198386298008868,0.9906503374145021,0.049193289264382045,0.030973579343524866
microscopic,5,20260806,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.40700611220308935,0.9784678261424231,0.05070858504730591,0.021132055847097125
microscopic,5,20260806,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.07016308156287926,0.6375222271848302,0.04921623589677067,-0.003564766223581834
microscopic,5,20260806,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.16557980562580976,0.9047959461636019,0.04897436226323857,-0.007892704902258263
microscopic,5,20260806,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,0.038193451782925485,0.02083614756966723,0.05052347725519383,0.0018847886349221672
microscopic,6,20260807,0,0.0,0.0,1.0,0.72,0.7147102404434844,0.9924301543201305,0.05038020833333333,0.0355
microscopic,6,20260807,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6289870701016278,0.9927630585291185,0.04951016636453323,0.03065388299440968
microscopic,6,20260807,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.4357591454139124,0.9767086629265983,0.04984746460988854,0.021673118193047392
microscopic,6,20260807,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.0634545270714142,0.6165554382064313,0.05015302534782668,-0.0032739871161447005
microscopic,6,20260807,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.16557823066169047,0.9166301699273687,0.049757149060520284,-0.008229221559212227
microscopic,6,20260807,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,0.014666732214316995,0.6069551136909933,0.049925567396854505,0.0007424746680798393
microscopic,7,20260808,0,0.0,0.0,1.0,0.72,0.6984878996832041,0.9678707634057409,0.05043229166666666,0.034890624999999995
microscopic,7,20260808,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.5984744573263635,0.9790097063984952,0.051356334861849096,0.032354003026379065
microscopic,7,20260808,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.41250358849301116,0.9628134440151058,0.05039841147487889,0.020045314477569312
microscopic,7,20260808,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.05877040283932695,0.7792528632642967,0.05072609402736469,-0.002992593775825319
microscopic,7,20260808,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.18822726111804278,0.9834028492213316,0.04968314437409349,-0.009165729731825799
microscopic,7,20260808,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-3.9968028886505634e-17,-0.0027384886240539204,-0.13979807655124699,0.05021611223899423,-0.00012928690345708418
microscopic,8,20260809,0,0.0,0.0,1.0,0.72,0.7166276654018663,0.9971070417018505,0.049317708333333335,0.03561458333333334
microscopic,8,20260809,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.6392095343932522,0.6699161931009399,0.9809217697544755,0.05012150201781254,0.0330134036372265
microscopic,8,20260809,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.4277115506479662,0.39577136477987107,0.9561994462906381,0.05066207025991329,0.020379521385843466
microscopic,8,20260809,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.05999999999999992,-0.06904740753173569,0.7248151126297303,0.05009551931907378,-0.003352695607597239
microscopic,8,20260809,6,0.39269908169872414,0.125,-0.2511391455052437,-0.18082018476377545,-0.17825840612885913,0.9759375012083313,0.05088217195881745,-0.008965057849183354
