sweep_parameter,sweep_value,dynamics,t,theory_norm_mean,theory_norm_se,amp_mean,amp_se,amp_norm_mean,amp_norm_se,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
B,0.4,microscopic,19,1.3857695078671324e-12,0.0,0.0018510757808089314,0.0011736455331998674,0.03704066757152194,0.02349441014859445,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,20,3.2928312502806686e-13,1.9082329364444266e-29,0.00056384712752008,0.0006574226500962483,0.011157421526256666,0.01309716417447266,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,21,7.824344222664589e-14,0.0,-0.000379347719910395,0.0005757836531024612,-0.007640310420076129,0.011501829433881753,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,22,1.859201333488515e-14,1.1926455852777666e-30,-0.0006108476169735722,0.0009030388161926163,-0.012294699265561811,0.018098987444070548,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,23,4.417788251739664e-15,0.0,-0.0008936995049337728,0.0006829717981722128,-0.01780274145055369,0.013715540330502572,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,24,1.0497439242144108e-15,0.0,-0.00045410397115525476,0.0005427105141832503,-0.009117862787761949,0.010884022717933517,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,25,2.494375564494593e-16,0.0,0.00021731967994064724,0.0008960299709297372,0.004412073455736328,0.017880977228501495,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,26,5.927073558824325e-17,0.0,-0.0005784892840453906,0.0006993636144600233,-0.011678373229710057,0.014003512825104144,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,27,1.4083765681385065e-17,0.0,-0.00029982683724779865,0.000904342118577304,-0.0059747412650817825,0.01808218637894462,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,28,3.3465495880821217e-18,1.4558661929660237e-34,-0.0015694908963627585,0.0007679211784631348,-0.03140856152116489,0.01534794410480206,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,29,7.951988409105091e-19,3.639665482415059e-35,0.0003332440798463991,0.0008031281369036008,0.006651965786213835,0.016060251960847146,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
B,0.4,microscopic,30,1.8895318295516625e-19,9.099163706037648e-36,0.0005016057670133004,0.0010395422899422005,0.0101726820025632,0.020845622510587854,12,0.4,0.0,0.0,0.0,0.0,0.4,0.10666186852010345,0.2127596452964393
