sweep_parameter,sweep_value,dynamics,seed_index,seed,mode_index,q,q_over_pi,kernel_hat,lambda_theory,lambda_fit,fit_r2,A0,A1,R,B,h,phi_bar,delta_h_minus_phi,m_star,Lambda_star,mu,sigma_eff
delta,-0.1,microscopic,1,50260802,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,-0.004569684044943191,-1.4821773255640815,0.050864335920447354,-0.0002383344636886295,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,2,50260803,0,0.0,0.0,1.0,0.37393650107548,0.37985825123978684,0.9973521689662235,0.04967187500000002,0.019062500000000017,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,2,50260803,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.33393084317063026,0.9981665397094772,0.04956593573829638,0.016610735381810994,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,2,50260803,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.23091520550530406,0.9618229456126467,0.05130534627104278,0.011773180308659592,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,2,50260803,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.03497749917329946,0.7782615082387164,0.048821023384466956,-0.0016800064765835727,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,2,50260803,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.08582510254167713,0.9486440855708944,0.050311309676349704,-0.004371616732410365,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,2,50260803,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,-0.0038853658171907725,0.025786547287694805,0.050470372294658936,-0.00018393413176846841,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,3,50260804,0,0.0,0.0,1.0,0.37393650107548,0.37833702235906186,0.9964164166238778,0.05038020833333335,0.01902604166666668,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,3,50260804,1,0.06544984694978735,0.020833333333333332,0.8877910199906281,0.331977467701527,0.35598838182524234,0.9917048952015558,0.04951219563557455,0.017267453291107453,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,3,50260804,2,0.1308996938995747,0.041666666666666664,0.5940438203443975,0.22213466766509504,0.21899927732474436,0.990023046207597,0.04916325336262947,0.010755415925726,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,3,50260804,4,0.2617993877991494,0.08333333333333333,-0.08333333333333323,-0.031161375089623293,-0.03494525688895512,0.5507096883870963,0.05040166004509408,-0.001781108469975113,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,3,50260804,6,0.39269908169872414,0.125,-0.2511391455052437,-0.09391009335331668,-0.10223729728603015,0.9862530699207512,0.051106825103273634,-0.005191247034528211,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,3,50260804,8,0.5235987755982988,0.16666666666666666,-5.551115123125783e-17,-2.0757645662088375e-17,0.02104218646371861,0.3505544127841199,0.0506025236850701,0.00106294729104192,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
delta,-0.1,microscopic,4,50260805,0,0.0,0.0,1.0,0.37393650107548,0.39371577087248627,0.9911986571116156,0.04932291666666669,0.01946354166666668,12,0.72,-0.1,0.0,-0.1,-0.7476651610671541,0.37393650107548,0.1919913633361862,0.2127596452964393
